Mozzarella Cheese (1oz), b, 85
Bread (1 slice), b, 24
Turkey Lunch Meat (6 slices), b, 60
Provolone Cheese (1 slice), b, 98
Tomato Sauce (1 cup), b, 81
Pizza Dough (1 slice), b, 84
Peanut Butter (1 oz), b, 166
Strawberry Jelly (1 oz), b, 71 
Chicken Breast (4 oz), b, 142
Mashed Potatoes (1 cup), b, 237
Green Beans (1 cup), b, 44
Broccoli (1 cup), b, 55
Penne Pasta (1 oz), b, 101
Alfredo Sauce (1 oz), b, 38
Filet Mignon (4 oz), b, 202
Asparagus (1 cup), b, 40
